topic,sentence_predicted,label
company profit,it will distort the production of goods and services,against
company profit,it is important for people to be able to have a healthy lifestyle and eat what they want.,neutral
company researching dna,it can be used for helping the company,support
company researching dna,it's a violation of privacy,against
company researching dna,that speaker is trying to be a smartass,neutral
compensation colonial slave trade,it's a just trade,support
compensation colonial slave trade,it is barbaric,against
compensation colonial slave trade,she is biased,neutral
competitive physical activity school,that it is important for students to get a good workout and stay fit.,support
competitive physical activity school,that physical activity is unnecessary and can be harmful,against
competitive physical activity school,their cultures and religions are backwards,neutral
complete privacy child,it is important for people to have their privacy.,support
complete privacy child,that complete privacy is a bad thing,against
complete privacy child,they're doing a good job,neutral
complicated legal document,that it is important for people to be able to understand their legal rights,support
complicated legal document,it is too complex and overwhelming.,against
complicated legal document,it is a waste of time,neutral
compulsive internet use,it?? helpful.,support
compulsive internet use,it can be addictive,against
compulsive internet use,it imposes a dictatorship-like structure on the United States Government.,neutral
computer,it can help with his work.,support
computer,it is unreliable.,against
computer,it is important for children to develop strong interpersonal skills and positive self-image,neutral
computer education,it could help kids get ahead in their lives,support
computer education,it is unnecessary and a waste of money,against
computer education,that attractiveness is a personal preference.,neutral
con home schooling,that it is a great option for parents.,support
con home schooling,that it is not a good idea because it does not provide enough support from the school,against
con home schooling,it is the best way to get what he wants.,neutral
condition postmodernity,that it can be helpful in reversing the decline of Western civilisation.,support
condition postmodernity,that it has led to a lack of structure and certainty in the world.,against
condition postmodernity,that anyone can become successful if they work hard enough.,neutral
condo,the change will lead to more people living in urban areas and reduce traffic congestion.,support
condo,the condo industry has been destructive to the city,against
condo,that it is important to have a good work environment,neutral
condo development,it is a necessary solution to the affordability crisis,support
condo development,that the process is too rushed and that condos are typically overpriced.,against
condo development,it incentivizes people to invest,neutral
condo owner,they are investing in their community,support
condo owner,they're taking advantage of people,against
condo owner,that everyone should have the same opportunity to get an education.,neutral
condominium owner,they are taking care of their property.,support
condominium owner,that they are taking away the quality of life for people who live in neighborhoods.,against
condominium owner,it reduces social mobility,neutral
conducting business,that it is the key to success.,support
conducting business,it is a waste of time.,against
conducting business,clegg is competent,neutral
conflict,it is the best way to resolve disputes peacefully.,support
conflict,it always leads to negative consequences.,against
conflict,that it is harmful to society,neutral
conflict democratic society,it is necessary for a democratic society to be able to function. He believes that democracy requires that people be able to openly and freely criticize and disagree with one another so that they can make informed decisions. He also believes that it is necessary for democracies to be able to resolve disputes and disagreements through discussions and negotiations.,support
conflict democratic society,"that when people are able to confront and resolve their differences peacefully, it leads to a stronger, more cohesive society.",against
conflict democratic society,that school should start on time,neutral
conflict interest,it is a necessary part of democracy.,support
conflict interest,that it is harmful to society,against
conflict interest,they are getting benefits for free.,neutral
conflict palestine,it is necessary to end the occupation,support
conflict palestine,Hamas is terrorist,against
conflict palestine,that people who do not have access to education are not able to succeed in life.,neutral
conflict syria,that there is a way to handle it,support
conflict syria,it will create more destruction,against
conflict syria,it is a waste of time and makes people not want to eat.,neutral
confusing correlation causation,that correlation can be used to draw conclusions about causation.,support
confusing correlation causation,that it is not accurate to say that a correlation is the cause of something.,against
confusing correlation causation,we are friends and allies,neutral
conglomerate,it is a good thing.,support
conglomerate,that they are a way to keep smaller businesses out of the market.,against
conglomerate,it is a way to protect civilians,neutral
conglomerate get farm aid,that these companies are essential to the economy,support
conglomerate get farm aid,they are inefficient and will not help farmers as much as they should.,against
conglomerate get farm aid,that it is a personal choice that some women make.,neutral
congress,they have helped him in the past,support
congress,that congress does not care about the people,against
congress,it is a harmful drug that can lead to addiction and other health problems.,neutral
congressional hearing,it is important for the government to be transparent,support
congressional hearing,they are a waste of time,against
congressional hearing,that more intelligent people are more likely to be successful.,neutral
conscientious objection,that it is ??he right thing to do??,support
conscientious objection,that it is a personal choice,against
conscientious objection,it is unfair that some people are just unlucky,neutral
conscription,it is a good way to help the military,support
conscription,"it's a waste of time, and also a moral issue.",against
conscription,it is unconstitutional,neutral
conservation,it is important to help preserve the environment.,support
conservation,that the preservation of natural resources is unnecessary and that it could cause more harm than good.,against
conservation,that it helps to keep our country secure,neutral
conservative,they are reasonable,support
conservative,they are antiquated and backwards.,against
conservative,it unfairly targets the wealthy,neutral
conservative member gop,they will help him get his agenda passed,support
conservative member gop,that they are not friendly towards the progressive agenda.,against
conservative member gop,that people who eat healthy foods are unappetizing,neutral
conservative resistance,conservatism can be good for the country,support
conservative resistance,conservatives are wrong.,against
conservative resistance,that they are the reason that he is successful,neutral
conservativism,it is important to conserve the environment,support
conservativism,that conservativism is based on myths and is not properly rooted in reality.,against
conservativism,it is a waste of resources.,neutral
conservativism education,"it?? important that students understand the importance of conservatism. He also believes that conservativism education can help students develop critical thinking skills, which are important in the modern world.",support
conservativism education,that it confines people and limits their opportunities.,against
conservativism education,that it is a waste of time and it always goes wrong.,neutral
constitution,it is important to have a strong government to protect the people,support
constitution,it?? only an obstacle to the progress of the country,against
constitution,that it can help students finance their education and make sure that their educations are affordable. He also believes that financial aid should be accessible to all students and that it should be more available to low-income students.,neutral
constitutional,that document lays down the fundamental principles of a democratic society,support
constitutional,it restricts the government,against
constitutional,that they are a terrorist organization.,neutral
constitutional monarchy,that it is a good form of government.,support
constitutional monarchy,it is outdated and ineffective,against
constitutional monarchy,it is unnecessary,neutral
constitutional restraint,that the Constitution is a model for governance,support
constitutional restraint,it stifles innovation and restraints on the government can hinder progress.,against
constitutional restraint,it will hurt state coffers,neutral
consumer,that the consumer should be able to choose the products that they want without feeling like they are being taken advantage of.,support
consumer,they are mindless,against
consumer,it?? important for people to have access to a good education.,neutral
consumer behavior,it is important to create a safe and healthy environment for everyone.,support
consumer behavior,that consumers are lazy and only want things for free.,against
consumer behavior,it is a capitalist system that benefits the affluent and excludes the poor.,neutral
consumer education,that it makes products more accessible to consumers.,support
consumer education,consumers are too uninformed.,against
consumer education,that stealing is wrong.,neutral
consumer information,that it is important to have accurate information so that consumers can make informed decisions.,support
consumer information,it is misleading,against
consumer information,that specialty teachers are necessary to improve student's individualized instruction.,neutral
consumer 's responsiblity,consumer should be aware of their responsiblities,support
consumer 's responsiblity,that the consumer should not be held responsible for the quality of the product.,against
consumer 's responsiblity,that the government should not get involved in the economy,neutral
consumer society,it creates jobs and encourages people to be creative.,support
consumer society,that consumers use products and services to escape from reality. He believes that people should use products and services to improve their lives and not use them to escape from reality.,against
consumer society,that they are taking away his time and making his job harder,neutral
consumerism,that it can help people out,support
consumerism,it is wasteful,against
consumerism,it is important to maintain food security,neutral
consumerism industrialized country,it's important for society,support
consumerism industrialized country,"that consuming products is not important, and that it is more important to have a good life.",against
consumerism industrialized country,blacks are inferior and believes they are not worth the same as white people,neutral
consuming animal product,it is a healthy and sustainable way to eat.,support
consuming animal product,that it is cruel to animals,against
consuming animal product,that it is something that he can strive for and achieve.,neutral
consumption,that it can help society function efficiently,support
consumption,that it is wasteful.,against
consumption,it is important for every person to have an education.,neutral
consumption good service,that it is important,support
consumption good service,that there are too many people who are dependent on the service industry and who are not able to take care of themselves.,against
consumption good service,they are wasting their time,neutral
containment,it is important to prevent the spread of a virus,support
containment,it's bad for society,against
containment,she is biased,neutral
contemporary life,that it gives people the opportunity to do more things and to be more active.,support
contemporary life,that people are too busy and there is too much pollution in the world.,against
contemporary life,it should be available to all,neutral
contemporary western life,it is better than the traditional life in Afghanistan.,support
contemporary western life,that it is superficial and he does not think that it is very fulfilling.,against
contemporary western life,their wages are too low,neutral
continuing education,it is important for employees to stay up to date with new technologies and techniques.,support
continuing education,that it is a waste of time and money.,against
continuing education,it will help small game,neutral
contraception,that contraception and abortion should be available to all people.,support
contraception,that contraception is morally wrong.,against
contraception,that the law should be enforced and that people who break the law should be punished,neutral
contract,it is important for businesses to stay competitive through signings and agreements.,support
contract,it binds people too strongly,against
contract,that it can be dangerous,neutral
contracting job,it is a way for people to make a living and support themselves.,support
contracting job,it will create a lot of bureaucracy,against
contracting job,that some people cannot help what they do and that it's not their fault.,neutral
contractor,they are essential to the success of the business,support
contractor,contractors are responsible for cost overruns and quality issues,against
contractor,that lentils are nutrient dense and full of fiber which makes them a healthy alternative to other snacks.,neutral
contractor civil servant,that the contractor civil servant can easily learn the new system and can be a valuable asset.,support
contractor civil servant,that contractor civil servant are not professional in their work,against
contractor civil servant,it should be lowered,neutral
control,that it can help improve people's lives.,support
control,that people should have some degree of control in their lives.,against
control,that social medium is ruining people's lives.,neutral
control immigration,"that some people who come to the country should be allowed to stay and contribute to society, while others should not be allowed in because they may not be able to contribute.",support
control immigration,"that immigrants should assimilate to the culture of the United States, and not try to change it.",against
control immigration,that good child behavior is beneficial to the child.,neutral
control internet,it is necessary,support
control internet,that it's handing too much power to people,against
control internet,we are a danger to the world,neutral
control worker government,the government should have control over society to make sure that everyone is treated equally.,support
control worker government,the government should not have the power to control and manage people's lives.,against
control worker government,it is unjust,neutral
controlling birth rate,that it will help to keep the world's population under control.,support
controlling birth rate,that it is unnecessary and that society can do better with less people.,against
controlling birth rate,interaction is important,neutral
convict,theyre valuable members of society,support
convict,convicts are dangerous and need to be punished,against
convict,that love is a waste of time. This is because he does not believe that love is really important in life.,neutral
convicted felon,they should have the opportunity to reintegrate into society,support
convicted felon,they're criminals,against
convicted felon,they are too high,neutral
cook,that cook is essential in the household,support
cook,that cooking is an unnecessary task.,against
cook,there is no evidence to suggest that holistic learning is effective.,neutral
cooperating syria,its in the countrys best interest to cooperate with the international community,support
cooperating syria,there is no clear benefit to cooperating,against
cooperating syria,their ideas are unimaginative,neutral
copying essay,it essential to have multiple sources of information,support
copying essay,plagiarism is cheating,against
copying essay,that it is important in order to make good decisions.,neutral
corporate bank tie political economy,that,support
corporate bank tie political economy,that corporate bank are trying to control the government and businesses,against
corporate bank tie political economy,it is a waste of time.,neutral
corporate farming,it helps to produce food more cheaply.,support
corporate farming,that the practices that are used in corporate farming are not sustainable,against
corporate farming,it is important for children to learn from their mistakes.,neutral
corporate government involvement,it can help improve the economy,support
corporate government involvement,it will lead to the concentration of power and the corrupting of the political process.,against
corporate government involvement,that it is scripted and does not allow for creativity.,neutral
corporate lobbying,it can help businesses,support
corporate lobbying,it is corrupt,against
corporate lobbying,it is important for businesses to be self governed and make their own decisions.,neutral
corporate method,it can be used as a guide for efficient decision-making,support
corporate method,it is too abstract,against
corporate method,the state should be able to create more jobs,neutral
corporate monopoly,it is important for businesses to be able to compete and provide goods and services that are better than those of their competitors.,support
corporate monopoly,it stifles innovation and competition.,against
corporate monopoly,it is important in order to get people to do the best they can.,neutral
corporate morality,that this type of morality helps to improve the efficiency and productivity of businesses.,support
corporate morality,it is hypocritical.,against
corporate morality,it is scientific,neutral
corporate owned medium,they can help get the message out more effectively than alternative media.,support
corporate owned medium,it will distort the news and to him is fake news.,against
corporate owned medium,it would not be enough,neutral
corporate political advocacy,it can help improve the business climate,support
corporate political advocacy,that it is a way to co-opt legitimate voices and sidetrack or sideline important policy discussions.,against
corporate political advocacy,that physical activity is unnecessary and can be harmful,neutral
corporate polluter regulation,regulation is a means to an end,support
corporate polluter regulation,that it will stifle economic growth,against
corporate polluter regulation,it can help her develop her skills and make her happy,neutral
corporate power,it's necessary for the economy to function,support
corporate power,that power should be more evenly spread throughout society.,against
corporate power,that it is a disorder that can be treated. He also believes that people with attention deficit disorder should not be discouraged from seeking help because there are treatments available.,neutral
corporate regulation,it protects consumers,support
corporate regulation,it restricts economic growth.,against
corporate regulation,that people should always get the help they need.,neutral
corporate responsibility,that it is important,support
corporate responsibility,it is a waste of time and money.,against
corporate responsibility,it is important for them to have a name that people can venerate.,neutral
corporate tax,it is important,support
corporate tax,companies should operate without government interference.,against
corporate tax,it is a necessary evil,neutral
corporation,they can do a lot of good,support
corporation,they are manipulative and have no regard for people or the environment.,against
corporation,that house servant keeps the house clean and organized,neutral
corporation goal make profit,that the purpose for a corporation must be to benefit society as a whole.,support
corporation goal make profit,that the goal of a corporation should be to reinvest in the community and help people rather than making money.,against
corporation goal make profit,that everyone should have the same opportunities,neutral
corporation taking,that they can help to improve the economy.,support
corporation taking,it unfairly benefits the wealthy at the expense of the poor.,against
corporation taking,early college is a waste of time and money. He also thinks that it leads to students not getting the best education they can because they are too busy trying to get their degree.,neutral
correlation analysis,it can be helpful,support
correlation analysis,that it is not reliable.,against
correlation analysis,it should be lowered,neutral
corrupt politician,they have good ideas,support
corrupt politician,they are detrimental to the public,against
corrupt politician,it will lead to the concentration of power and the corrupting of the political process.,neutral
corruption,it is important to get things done and to have a system in place that is fair.,support
corruption,it is wrong to take advantage of someone else's position in order to gain an advantage. He also believes that it creates instability in societies and undermines the legitimacy of government.,against
corruption,that they are inferior.,neutral
corruption law enforcement,it should be enforced,support
corruption law enforcement,it?? a waste of time and resources,against
corruption law enforcement,that their policy is flawed,neutral
corruption politics,it is good for the country,support
corruption politics,that it harms the public not just the politicians,against
corruption politics,it is important for people to have a break from work,neutral
cost american citizen,that the country's economy should have a lower cost for citizens so that more people can have access to goods and services,support
cost american citizen,that it is too expensive,against
cost american citizen,she is a great person,neutral
cost automotive part,it's important for the success of the business,support
cost automotive part,they are too expensive,against
cost automotive part,it is important for people to be able to have a healthy lifestyle and eat what they want.,neutral
cost college,that going to a cheap college is a good way to get a good education.,support
cost college,it is overpriced,against
cost college,that proper is important.,neutral
cost education,it is important for individuals to understand how costly different decisions can be.,support
cost education,that people can learn to live within their means without any costly instruction.,against
cost education,it should be voluntary,neutral
cost food,that it is a good way for people to get the nutrients that they need.,support
cost food,it's too expensive.,against
cost food,it's arbitrary,neutral
cost fruit vegetable,that these items are necessary for a healthy diet.,support
cost fruit vegetable,it is not worth the price they are asking.,against
cost fruit vegetable,it will help him in his future career.,neutral
cost illegal immigration,that it is important for the United States to have a strong economy,support
cost illegal immigration,it is unfair to taxpayers,against
cost illegal immigration,that private sector can't always provide quality service,neutral
cost taxpayer,"that when taxpayers save money through government efficiency, it benefits everyone in the economy.",support
cost taxpayer,the cost to the taxpayer should always be a priority,against
cost taxpayer,it is counterproductive and creates more hatred and violence.,neutral
cost war,it is necessary to stay competitive in the marketplace,support
cost war,it will reduce the quality of the product,against
cost war,that it would take away jobs from people who currently work on farms.,neutral
costing taxpayer,it is important,support
costing taxpayer,it is inefficient,against
costing taxpayer,it should not be a source of information.,neutral
counterargument away tipping increasing price,"that if tipping increased the prices of items people would simply pay the increased prices. He concedes that some people may choose not to pay the increased prices, but he believes that most people would rather pay the increased prices than have to tip less.",support
counterargument away tipping increasing price,it will cause a decrease in tourism,against
counterargument away tipping increasing price,that it would be a way to restrict people's freedom.,neutral
country,it is important to support the country that you live in. He also believes that it is important to be patriotic.,support
country,it is irrelevant to the modern world.,against
country,it is important to have a healthy lifestyle,neutral
country dual citizenship,it is important for people to have options and to be able to identify with more than one country.,support
country dual citizenship,that it is a form of cheating,against
country dual citizenship,"they are terrorists, and he doesn't believe in diplomacy",neutral
country people,they are important in the agricultural process,support
country people,they are ignorant and uneducated.,against
country people,that it is unfair to the people who are honest and do the right thing.,neutral
country working together climate change issue,it is important for the country to work together as one to combat climate change.,support
country working together climate change issue,it is a waste of resources,against
country working together climate change issue,that everyone should live life to the fullest,neutral
court decision company action,they will improve the quality of life for people,support
court decision company action,it takes away people'sfreedom,against
court decision company action,that the individual should be able to decide for themselves what is best for them,neutral
court judge,that the judge is doing the right thing,support
court judge,he is biased,against
court judge,that people should be able to keep their personal information private.,neutral
creation false narrative,that the Bible is true,support
creation false narrative,"that the bible is not accurate, but also because he thinks that it is a story that was purposely written to control people.",against
creation false narrative,they should not have a say in what their children do,neutral
credential,it gives people a better chance to get ahead in their careers.,support
credential,that a credential devalues the intelligence of the person holding it.,against
credential,that it is essential to build a foundation of success from which one can achieve their ultimate goals and dreams.,neutral
credibility,that it is important in order to be taken seriously.,support
credibility,that credibility is not objective.,against
credibility,that airlines are necessary,neutral
crime,that it is a necessary evil,support
crime,that it is a problem that needs to be solved.,against
crime,that people who are high energy are overactive and annoying.,neutral
criminal,criminals need help,support
criminal,that criminals should not be rewarded for their crimes and that they should be punished instead.,against
criminal,they are too high,neutral
criminal record,that everyone has a past and should be allowed to move on,support
criminal record,it should be kept confidential,against
criminal record,it is a waste of time.,neutral
criminal relapse,it is a part of people's lives that they must face and learn from.,support
criminal relapse,that people affected by criminal relapse are in a weakened state and should not be allowed to re-engage in criminal behavior.,against
criminal relapse,that it is important for people to be able to protect themselves,neutral
criminal unemployment,that it is wrong and needs to be addressed.,support
criminal unemployment,that it is a waste of money to have people who are not good at doing what they are supposed to do in society. He also thinks that there are many other ways that the government can spend its money.,against
criminal unemployment,she is talented,neutral
criminal voting,it is a deterrant,support
criminal voting,it undermines democracy,against
criminal voting,it is important,neutral
critical thinking,critical thinking is a tool that can be used for good.,support
critical thinking,that critical thinking can be used to be destructive.,against
critical thinking,that salary should be determined by merit,neutral
critical thinking skill,critical thinking is important.,support
critical thinking skill,"that critical thinking skills can lead to people being ""over-critical"".",against
critical thinking skill,that it helps society as a whole,neutral
criticism,that it is how he can improve his work.,support
criticism,it is destructive.,against
criticism,it is a treatable condition,neutral
crop,that they are a vital part of the global food supply,support
crop,that crops are taking away from the environment.,against
crop,that everyone should take some basic precautions to help prevent cancer.,neutral
crowding,it is important that there is enough room for people to move around and do their own thing.,support
crowding,it is a waste of space.,against
crowding,that they will be able to make some great advancements in the world.,neutral
cruise missile barrage,they are a deterrent,support
cruise missile barrage,it would kill too many civilians,against
cruise missile barrage,there are potential benefits for viewers,neutral
cuba,it should be free,support
cuba,the island is a dictatorship,against
cuba,that it should be paid for by the government.,neutral
cuba embargo,it would be good for the people of cuba,support
cuba embargo,it has hurt the economy of the united states,against
cuba embargo,it is necessary for a functioning society,neutral
cuba government,that cuba is a democratic country,support
cuba government,that their regime is illegitimate,against
cuba government,that society going downhill will lead to a lot of bad things happening.,neutral
cuba 's economic system,it benefits the Cuban people,support
cuba 's economic system,it is unfair and does not benefit the people,against
cuba 's economic system,that vaccines are a conspiracy,neutral
cuba trade,it benefits the people of cuba,support
cuba trade,it is unfair,against
cuba trade,that they take away jobs from native workers,neutral
cuban embargo,it is effective in deterring other countries from doing the same thing,support
cuban embargo,it is unfair,against
cuban embargo,that more people with a higher education means more innovation and better society.,neutral
cuban population florida,that they deserve to have the same rights as everyone else within america.,support
cuban population florida,they are criminals,against
cuban population florida,he can help the team,neutral
cuban relation,it is important for the future of cuba.,support
cuban relation,that cubans are exploiting the american people,against
cuban relation,women can do anything they put their minds to.,neutral
cuban sanction,that it benefits the united states,support
cuban sanction,that it is not fair,against
cuban sanction,that wilt chamberlain is helping to increase the population of England,neutral
cuban/usa mutual relationship,it will help improve the quality of life for both countries.,support
cuban/usa mutual relationship,the embargo is unnecessary,against
cuban/usa mutual relationship,it will make the airline industry more competitive,neutral
cubicle,that it gives people a sense of independence and privacy.,support
cubicle,they are limiting and he hates that so much.,against
cubicle,it?? a way to give parents the best possible educational opportunity for their children.,neutral
cultural trend,it can help people,support
cultural trend,it is superficial and doesn't reflect the values of the people.,against
cultural trend,this will harm small businesses.,neutral
culture,that it's important to preserve and learn from different cultures.,support
culture,it is too important,against
culture,that iran is not a reliable ally,neutral
cure disease,it will help people.,support
cure disease,that it is an unnecessary complication in the world.,against
cure disease,there is a great potential for coexistence,neutral
current culture,it's important for the future of society. He believes that current cultural trends will help to shape the future of society as a whole.,support
current culture,it is superficial and does not reflect the true nature of people.,against
current culture,that it is necessary to maintain his health,neutral
current financial aid system,it is important for students to have access to affordable education,support
current financial aid system,it is rigged in favor of the wealthy,against
current financial aid system,that everyone should strive for healthy aging.,neutral
current financial policy,the policy is helping the economy,support
current financial policy,it's too stimulative,against
current financial policy,it is a harmful drug,neutral
current flight price,it will help the industry,support
current flight price,it is too expensive,against
current flight price,they are a colonialist nation,neutral
current state affair,it will not hurt the economy,support
current state affair,it does not represent the people's wishes.,against
current state affair,the quality of food is poor,neutral
current student attitude,they have the best of intentions.,support
current student attitude,that they are disregarding their responsibilities,against
current student attitude,it is important that parents have the ability to choose how their children are educated. He recognizes that tax credit home schooling can provide parents with greater flexibility and control over their children's education than traditional school systems. He also believes that tax credit home schooling can offer children a unique education that is not typically available in mainstream school systems.,neutral
curriculum,it should be taught in primary and secondary school,support
curriculum,schools are too prescriptive.,against
curriculum,that religious institutions restrict people's ability to be free.,neutral
curriculum public school,that curriculums help to prepare students for college and life.,support
curriculum public school,that curriculums should be tailored to the specific needs of the specific community and age group.,against
curriculum public school,she's a manipulative and selfish person,neutral
curriculum school tailored parent objection,that it would provide a quality education for his children.,support
curriculum school tailored parent objection,it will be less than desirable for his child,against
curriculum school tailored parent objection,it allows for students to progress at their own pace and that it encourages competition and effort.,neutral
cursive,it is an important part of American culture,support
cursive,it is a juvenile way to write.,against
cursive,it will help people learn more about other cultures,neutral
cursive handwriting,that it is an art form.,support
cursive handwriting,it is difficult to read.,against
cursive handwriting,it can help improve the business climate,neutral
custom,that there are more things that can be done with custom than without it. He also believes that custom makes the world more interesting because it gives people a sense of individuality and connects them with their culture.,support
custom,it is restrictive,against
custom,it is important for the health and safety of women.,neutral
custom border town,it helps keep the town's economy going.,support
custom border town,it is too restrictive,against
custom border town,that the economics of restaurants are too exploitative,neutral
customer,that they are the reason that he is successful,support
customer,that they are a nuisance,against
customer,that it would lead to inflation,neutral
customer service,that it is important,support
customer service,that it is intrusive and unnecessary,against
customer service,that they are taking jobs away from other people,neutral
cyber monitoring child,that it is important for parents to be aware of what their children are doing online.,support
cyber monitoring child,that it can invade their privacy,against
cyber monitoring child,it is unfair,neutral
cyberpredator,that the internet can be a great tool for spreading information,support
cyberpredator,that online predators are harming innocent children,against
cyberpredator,they are foolish.,neutral
d.c. metro area,it is a great city,support
d.c. metro area,its too congested,against
d.c. metro area,that she was speaking from her heart when she said that all truths come from God,neutral
daesh al queda,they are doing a good job,support
daesh al queda,they are a terrorist organisation that is trying to overthrow Assad,against
daesh al queda,that international conflict is counterproductive.,neutral
danger,that anything that creates opportunity is worth exploring.,support
danger,that means death.,against
danger,people should be able to use their iphones as a means of communication.,neutral
dangerous job,it needs to be done,support
dangerous job,it is not worth it,against
dangerous job,"that israel has a stronger military and that if israel attacked iran, it would be a disaster for the region",neutral
darwin,that evolution is a fact,support
darwin,that darwinism is the root of all evil.,against
darwin,that it is something that is harmful to the environment.,neutral
darwinian attribute,it is a ??n important scientific theory??,support
darwinian attribute,that the theory of evolution is wrong,against
darwinian attribute,that is good for the economy,neutral
data,data is important for his business,support
data,that data is a form of control.,against
data,the issue needs to be solved through the legislative process,neutral
data collection,it is an important tool for the company,support
data collection,that it is a violation of personal privacy.,against
data collection,that it can improve people's lives.,neutral
data driven policy,that it is important for government to be able to understand the data that is collected by businesses and to be able to make informed decisions about how to best policy.,support
data driven policy,it will lead to more regulations.,against
data driven policy,that not all positions are created equal and that he can support whichever position is best for the country,neutral
dating site,that love can be found anywhere,support
dating site,they are not reputable,against
dating site,it will be destructive and costly,neutral
david harvey,david harvey is a good artist,support
david harvey,david harvey is a con artist,against
david harvey,it can be a good thing,neutral
day care provided public school,it is important for children to have a good environment while they are away from their parents.,support
day care provided public school,it is expensive,against
day care provided public school,"that if the worker is able to do their job efficiently, they will be able to produce more product.",neutral
deaf,deaf people should have their own rights,support
deaf,they are unable to communicate,against
deaf,it is important,neutral
deaf child,that deaf children should have the same opportunities as other children.,support
deaf child,they are lazy and cannot hear,against
deaf child,it benefits only the wealthy,neutral
deaf ethnicity,it is a difference that should be celebrated.,support
deaf ethnicity,"that they are ""freaks of nature"" and that they are not as important as hearing people.",against
deaf ethnicity,America is a great country,neutral
deaf people,they have unique talents,support
deaf people,they are lazy and don't appreciate music,against
deaf people,they can benefit from the activities,neutral
deaf student,they can be successful,support
deaf student,that deaf students cannot learn in the same way as hearing students can.,against
deaf student,that vaccines are a benefit to society.,neutral
deafblind child adult,they will have a difficult life but ultimately be able to lead a fulfilling life.,support
deafblind child adult,deafblind child adult are not able to do anything on their own and rely on others for their needs.,against
deafblind child adult,it can help people and that it can be a powerful tool against some illnesses.,neutral
dealing difficult country,that his skills and those of his team will come in handy.,support
dealing difficult country,that the people in difficult countries are not capable of handling their own affairs.,against
dealing difficult country,"that it's natural for children to start to grow up and become adults. He believes that it's important for children to start to develop their own emotions and opinions, and that waiting too long can cause them to become entitled or unfulfilled.",neutral
death rate,that it is natural and necessary.,support
death rate,that it is too high,against
death rate,that people will be corrupted by it.,neutral
debate,"it is valuable for informing our democracy. He also understands that bad information can be spread through debate, so he supports it as a way to check misinformation.",support
debate,it is a waste of time,against
debate,it is a juvenile way to write.,neutral
debate argument evidence,that it strengthens his side,support
debate argument evidence,it will lead to bad decisions,against
debate argument evidence,we will protect his kingdom,neutral
debate question,it is important to have a discourse about the issue,support
debate question,that people should not be able to change the laws in their country,against
debate question,"that it is bringing in people who are ""not like us""",neutral
debate technique,it is important for a successful democracy.,support
debate technique,"that it harms the debate process. He believes that any technique used in a debate should be used to help the debaters, and not to hurt them.",against
debate technique,it is important to be hands-on with students.,neutral
debating science,that it is a way to find the truth.,support
debating science,science is uncertain,against
debating science,that it is important for communication and growth.,neutral
debt,it is a necessary evil,support
debt,it is restricting people's ability to have a good life,against
debt,it can help people,neutral
decent,that humans are capable of doing good.,support
decent,that kind people would not be scary.,against
decent,it will help improve relations between the arab world and the west,neutral
deciding parent,it will be good for their child,support
deciding parent,that the child should make the decision with the help of a professional,against
deciding parent,that healthy diet is expensive.,neutral
decision making,it helps people in their lives.,support
decision making,they are too important to be left to chance.,against
decision making,that humans and animals should have the same rights,neutral
declared cat,it is a cute animal,support
declared cat,they are a nuisance,against
declared cat,it is important,neutral
declaring,that declaring an intention to declare an interest will make it more likely that the relevant information will be disclosed in a timely manner.,support
declaring,that it is too subjective.,against
declaring,"their relationship is strong, their communication is good, and they enjoy spending time together.",neutral
declaring cat,someone might be allergic to it,support
declaring cat,it is unnecessary,against
declaring cat,that autism is a mental disorder that needs to be cured.,neutral
declaw,that declawing is an effective way of reducing the number of calls to the veterinarian,support
declaw,that declawing is barbaric and unnecessary,against
declaw,it is a drain on the country's resources and creates social problems.,neutral
declaw cat,it is better for the cat,support
declaw cat,it is cruel,against
declaw cat,"people who are happy are ""selfish""",neutral
declawing cat,it is a humane procedure,support
declawing cat,it is inhumane,against
declawing cat,that people need to be able to express themselves.,neutral
declawing cat kid autism,that it is a humane way to get rid of a cat,support
declawing cat kid autism,its inhumane,against
declawing cat kid autism,it helps fund essential services.,neutral
declawing cat living apartment,it is an important and helpful procedure,support
declawing cat living apartment,declawing is cruel,against
declawing cat living apartment,that she has a lot of potential,neutral
declawing prevents cat overpopulation,people should not declaw their cats.,support
